Page_ID,Page_name,Disclaimer,Amount_spent(INR),Number_of_ads_in_Library
1.08546E+14,Gowaal Padavi,Gowaal Padavi,28907,18
1.55494E+14,Manmohan Samal,Manmohan Samal,28880,132
1.10234E+14,BJP Koppal,BJP Koppal,28879,25
1.08308E+14,Sri Anadpur Sahib Helpclub,Sri Anadpur Sahib Helpclub,28856,39
1.16444E+14,Telugu Desam Party: Tadepalligudem,Telugu Desam Party,28827,16
1.00799E+14,Shiv Kumar Sahu,Shiv Kumar Sahu,28774,22
1.71156E+15,Gadikota Srikanth Reddy,Gadikota Srikanth Reddy,28757,13
1.6595E+15,I Support Pawan Kumar Bansal,I Support Pawan Kumar Bansal,28742,104
5.49212E+14,I Support Ramesh Awasthi,I Support Ramesh Awasthi,28732,53
2.47737E+14,ജനനായകൻ VM,Craftrix Consultancy Services Pvt Ltd,28690,74
6.25469E+14,Vipul Goel,Vipul Goel,28677,1
2.79856E+14,Sanjog Waghere FC,Unisplash,28674,21
3.29932E+14,BJP SORO,InfluCreators,28661,28
1.89947E+15,Sitaram Chaudhary,Sitaram Chaudhary,28659,78
4.38401E+14,Gangula Nani,Gangula Nani,28599,17
2.40241E+14,Dhamnagar Maguchi Suryabanshi Suraj,odiatazakhabar,28560,82
1.55567E+14,Sukhpal Singh Khaira,Sukhpal Singh Khaira,28552,19
1.15265E+14,Dilip Verma,Dilip Verma,28548,117
1.00272E+14,Shaik Vali Pasha,Shaik Vali Pasha,28527,16
3.3796E+14,Vinod Tawde,Vinod Tawde,28526,2
2.48805E+14,BJP Bilaspur Lok Sabha,BJP Bilaspur Lok Sabha,28512,87
2.2588E+14,Jspuday Srinivas Army,Demos Project Pvt LTD,28438,11
3.09618E+14,Atal Ke Rajnath,9Whole,28432,5
1.16381E+14,Telugu Desam Party: Peddapuram,Telugu Desam Party,28362,18
2.66456E+14,Sundargarh Maage Kusum Tete,Kosal Patrika,28340,46
1.30486E+14,Hindugram,Adv Tech,28318,58
1.05851E+14,Telugu Desam Party: Araku Valley,Telugu Desam Party: Araku Valley,28306,18
2.00759E+15,Smruti Rekha Pahi,kraushan,28273,52
2.99125E+14,Aba Vasantrao Bagul,Aba Vasantrao Bagul,28262,112
1.98945E+14,Devendra Fadnavis for Maharashtra,Devendra Fadnavis for Maharashtra,28219,4
2.57318E+14,Anagani For Repalle,Anagani For Repalle,28216,89
1.02248E+14,Political महाराष्ट्र,Political महाराष्ट्र,28125,136
1.47092E+15,KRN Rajeshkumar,KRN Rajeshkumar,28119,24
1.53689E+14,Rakesh Kumar Jain,Rakesh Kumar Jain,28106,303
1.73605E+14,Punjab Modi Naal,Brand Recourse Technologies,28093,20
1.06511E+14,Mana MLA  Pedda Reddy,Mana MLA  Pedda Reddy,28084,44
2.2588E+14,I Am Congress,I Am Congress,28078,27
1.16315E+14,Telugu Desam Party: Mummidivaram,Telugu Desam Party,28074,17
1.48479E+15,Shobha Karandlaje,Shobha Karandlaje,28055,31
1.00113E+14,Eknath Shinde FC,Eknath Shinde FC,28053,25
3.20258E+14,Karuna Sagar IPS,Karuna Sagar IPS,28035,7
1.15507E+14,Telugu Desam Party: Tadikonda,Telugu Desam Party,28019,15
1.50142E+14,Namo Supporter,Adv Tech,27995,52
1.08149E+14,Ashlesha Reddy,Ashlesha Reddy,27982,8
2.13152E+14,BJP Bastar Lok Sabha,BJP Bastar Lok Sabha,27980,78
5.66096E+14,Gareeb Aadmi Party,Gareeb Aadmi Party,27974,70
1.00442E+14,जन जन के जीतू पटवारी,जन जन के जीतू पटवारी,27971,8
2.72192E+14,Maha Dusta Kutami - మహా దుష్ట కూటమి,Pappu Pulakesh,27925,7
1.05801E+14,Telugu Desam Party: Polavaram,Telugu Desam Party,27917,15
1.02779E+14,Telugu Desam Party: Amalapuram,Telugu Desam Party,27916,14
1.02427E+14,ధర్మవరం ఆశాకిరణం,ధర్మవరం ఆశాకిరణం,27898,17
5.64676E+14,INDIAdonates- an initiative of DevPro,INDIAdonates- an initiative of DevPro,27896,8
3.01902E+14,Mudhalvan OPS,Mudhalvan OPS,27895,140
2.82868E+14,बिजनौर का विजेन्द्र,Revopions Technologies,27890,71
6.88936E+14,Sunil Tatkare,Sunil Tatkare,27862,20
1.03135E+14,Dr.Bharati Pravin Pawar डॉ.भारती प्रवीण पवार,Dr.Bharati Pravin Pawar डॉ.भारती प्रवीण पवार,27851,24
1.00671E+14,Girija Shetkar INC,Politics for Impact,27806,7
1.31639E+15,Dr Guduri Srinivas,Dr Guduri Srinivas,27801,52
4.64316E+14,Dr. Subhash Sharma,Digiciti Online,27796,26
3.54699E+14,Krishna Chaitanya Anna,Krishna Chaitanya Anna,27766,111
1.01387E+14,Telugu Desam Party: Raptadu,Telugu Desam Party,27663,16
1.05232E+14,Telugu Desam Party: Madakasira,Telugu Desam Party,27651,16
2.99717E+14,Sirsa Samachaar,Sigma Heroes Enterprises,27614,89
1.1398E+14,श्रीरामदादा पाटील समर्थक,श्रीरामदादा पाटील समर्थक,27584,67
2.82811E+14,I Support Prasanna Acharya,I Support Prasanna Acharya,27582,28
2.55306E+14,I Support Chintamani Maharaj,YD,27577,67
1.9299E+14,Rishiraj Kaundinya,AAP Sonitpur,27513,47
3.41744E+14,Haji Arfat Shaikh - FP - Muhammad Bin Abdullah Masjid,Brand Cuisine,27495,64
2.14063E+15,I support Nabam Tuki as MP of Arunachal West Lok Sabha Constituency,I support Nabam Tuki as MP of Arunachal West Lok Sabha Constituency,27492,49
2.41724E+14,Rajput Legends,Rajput Legends,27485,10
1.37975E+14,महाराष्ट्राचे लाडके नरेंद्र मोदी,महाराष्ट्राचे लाडके नरेंद्र मोदी,27452,4
1.08962E+14,Dheeraj Thakur,Swanit Infotech,27421,3
1.01268E+14,Haryane ka Pappu,Haryane ka Pappu,27420,155
1.00799E+14,Ravikant Tupkar Youth Foundation,Ravikant Tupkar Youth Foundation,27418,21
2.6053E+14,Chandabali Maage Manmohan Samal,odiatazakhabar,27393,76
1.09822E+14,Navneetraviranafc,Navneetraviranafc,27324,20
1.80924E+14,Meghna Sakore Bordikar,Meghna Sakore Bordikar,27309,13
1.17146E+15,Sandeep Singh Deswal,Sandeep Singh Deswal,27306,58
3.3168E+11,WaghBakri,WaghBakri,27248,3
2.64417E+14,Food Civil Supplies and Consumer Protection Depart,"Food, Civil Supplies and Consumer Protection Department",27235,39
1.03038E+14,Pankaj Kulakarni,Pankaj Kulakarni,27225,31
